playerID,yearID,stint,teamID,lgID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,nameGiven,masterID
abreujo02,2015,1,CHA,AL,154,613,88,178,34,3,30,101,0,0,39,140,11,15,0,1,16,Jose Dariel,abreujo02-2015-CHA
ackledu01,2015,1,SEA,AL,85,186,22,40,8,1,6,19,2,2,14,38,0,1,3,3,3,Dustin Michael,ackledu01-2015-SEA
ackledu01,2015,2,NYA,AL,23,52,6,15,3,2,4,11,0,0,4,7,0,0,0,1,0,Dustin Michael,ackledu01-2015-NYA
adamecr01,2015,1,COL,NL,26,53,4,13,1,1,0,3,0,1,3,11,1,1,1,0,0,Cristhian Pascual,adamecr01-2015-COL
adamsma01,2015,1,SLN,NL,60,175,14,42,9,0,5,24,1,0,10,41,1,0,0,1,1,Matthew James,adamsma01-2015-SLN
adriaeh01,2015,1,SFN,NL,52,113,11,21,7,1,0,11,3,2,15,20,0,4,2,0,2,Ehire Enrique,adriaeh01-2015-SFN
ahmedni01,2015,1,ARI,NL,134,421,49,95,17,6,9,34,4,5,29,81,1,1,5,3,4,Nicholas Mark,ahmedni01-2015-ARI
alberha01,2015,1,TEX,AL,41,99,12,22,2,1,0,4,1,0,2,17,0,0,3,0,2,Hanser Joel,alberha01-2015-TEX
almonab01,2015,1,SDN,NL,31,54,6,11,3,0,0,4,1,1,5,19,0,0,3,0,1,Abraham,almonab01-2015-SDN
almonab01,2015,2,CLE,AL,51,178,30,47,9,5,5,20,6,0,16,33,0,0,0,2,4,Abraham,almonab01-2015-CLE
alonsyo01,2015,1,SDN,NL,103,354,50,100,18,1,5,31,2,5,42,48,3,3,0,3,13,Yonder,alonsyo01-2015-SDN
altheaa01,2015,1,PHI,NL,39,137,25,33,11,4,5,22,6,2,16,41,0,5,1,2,3,Aaron Samuel,altheaa01-2015-PHI
altuvjo01,2015,1,HOU,AL,154,638,86,200,40,4,15,66,38,13,33,67,8,9,3,6,17,Jose Carlos,altuvjo01-2015-HOU
alvarpe01,2015,1,PIT,NL,150,437,60,106,18,0,27,77,2,0,48,131,9,2,0,4,6,Pedro Manuel,alvarpe01-2015-PIT
amarial01,2015,1,SDN,NL,118,324,28,66,10,4,3,30,5,1,24,55,4,1,3,5,6,Alexi Jose,amarial01-2015-SDN
andruel01,2015,1,TEX,AL,160,596,69,154,34,2,7,62,25,9,46,78,1,2,8,9,14,Elvis Augusto,andruel01-2015-TEX
aokino01,2015,1,SFN,NL,93,355,42,102,12,3,5,26,14,5,30,25,0,6,1,0,8,Norichika,aokino01-2015-SFN
arciaos01,2015,1,MIN,AL,19,58,6,16,0,0,2,8,0,0,4,15,4,2,0,1,2,Oswaldo Celestino,arciaos01-2015-MIN
arenano01,2015,1,COL,NL,157,616,97,177,43,4,42,130,2,5,34,110,13,4,0,11,17,Nolan James,arenano01-2015-COL
arencjp01,2015,1,TBA,AL,24,71,9,22,3,0,6,17,0,0,1,22,0,0,0,1,1,Jonathan Paul,arencjp01-2015-TBA
ariasjo01,2015,1,SFN,NL,40,58,5,12,1,0,1,4,1,0,0,12,0,0,1,0,1,Joaquin,ariasjo01-2015-SFN
arrieja01,2015,1,CHN,NL,33,79,5,12,1,1,2,2,0,0,1,45,0,0,3,0,1,Jacob Joseph,arrieja01-2015-CHN
ascheco01,2015,1,PHI,NL,129,425,41,104,22,3,12,39,1,2,26,111,3,4,0,1,4,Cody James,ascheco01-2015-PHI
avilaal01,2015,1,DET,AL,67,178,21,34,5,0,4,13,0,1,40,66,0,0,1,0,4,Alexander Thomas,avilaal01-2015-DET
avilemi01,2015,1,CLE,AL,98,290,37,67,10,0,5,17,3,1,20,38,0,1,5,1,18,Michael Anthony,avilemi01-2015-CLE
aybarer01,2015,1,LAA,AL,156,597,74,161,30,1,3,44,15,6,25,73,1,4,7,5,12,Erick Johan,aybarer01-2015-LAA
baezja01,2015,1,CHN,NL,28,76,4,22,6,0,1,4,1,2,4,24,1,0,0,0,0,Ednel Javier,baezja01-2015-CHN
bakerje03,2015,1,MIA,NL,41,72,11,15,3,0,3,8,0,0,8,25,0,0,0,0,0,Jeffrey Glen,bakerje03-2015-MIA
barmecl01,2015,1,SDN,NL,98,207,24,48,14,1,3,16,0,1,10,55,2,4,3,0,0,Clint Harold,barmecl01-2015-SDN
barnebr02,2015,1,COL,NL,106,255,30,64,13,2,2,17,4,2,21,67,3,3,1,1,6,Brandon Michael,barnebr02-2015-COL
barnhtu01,2015,1,CIN,NL,81,242,23,61,9,0,3,18,0,1,25,45,5,2,2,3,10,Tucker Jackson,barnhtu01-2015-CIN
bautijo02,2015,1,TOR,AL,153,543,108,136,29,3,40,114,8,2,110,106,2,5,0,8,19,Jose Antonio,bautijo02-2015-TOR
baxtemi01,2015,1,CHN,NL,34,57,6,14,1,0,0,2,0,0,7,14,1,2,0,0,3,Michael Joseph,baxtemi01-2015-CHN
beckhgo01,2015,1,CHA,AL,100,211,24,44,8,0,6,20,0,1,19,43,1,2,1,4,6,James Gordon,beckhgo01-2015-CHA
beckhti01,2015,1,TBA,AL,82,203,24,45,7,4,9,37,3,1,13,69,0,3,0,4,3,Timothy Lamar,beckhti01-2015-TBA
beltbr01,2015,1,SFN,NL,137,492,73,138,33,5,18,68,9,3,56,147,2,4,0,4,3,Brandon Kyle,beltbr01-2015-SFN
beltrad01,2015,1,TEX,AL,143,567,83,163,32,4,18,83,1,0,41,65,4,3,0,8,18,Adrian,beltrad01-2015-TEX
beltrca01,2015,1,NYA,AL,133,478,57,132,34,1,19,67,0,0,45,85,2,2,0,6,12,Carlos Ivan,beltrca01-2015-NYA
bethach01,2015,1,ATL,NL,48,155,16,31,8,0,2,12,1,1,5,33,1,0,0,0,7,Christian Gabriel,bethach01-2015-ATL
bettsmo01,2015,1,BOS,AL,145,597,92,174,42,8,18,77,21,6,46,82,1,2,3,6,2,Markus Lynn,bettsmo01-2015-BOS
birdgr01,2015,1,NYA,AL,46,157,26,41,9,0,11,31,0,0,19,53,0,1,0,1,1,Gregory Paul,birdgr01-2015-NYA
blackch02,2015,1,COL,NL,157,614,93,176,31,9,17,58,43,13,46,112,2,13,5,4,4,Charles Cobb,blackch02-2015-COL
blancan01,2015,1,PHI,NL,106,233,32,68,22,3,7,25,1,1,21,44,0,4,3,0,11,Andres Eloy,blancan01-2015-PHI
blancgr01,2015,1,SFN,NL,115,327,59,95,19,3,5,26,13,5,40,59,7,2,0,3,3,Gregor Miguel,blancgr01-2015-SFN
blankky01,2015,1,TEX,AL,18,67,10,21,5,0,3,6,1,0,4,20,0,0,0,0,1,Kyle Nathaniel,blankky01-2015-TEX
bloomwi01,2015,1,SEA,AL,35,69,2,11,1,0,0,4,1,1,2,13,0,1,0,0,2,William Paul,bloomwi01-2015-SEA
boescbr01,2015,1,CIN,NL,51,89,4,13,2,0,1,5,1,0,4,30,0,1,0,0,0,Brennan Philip,boescbr01-2015-CIN
bogaexa01,2015,1,BOS,AL,156,613,84,196,35,3,7,81,10,2,32,101,1,3,3,3,16,Xander Jan,bogaexa01-2015-BOS
bogusbr01,2015,1,PHI,NL,22,58,9,15,3,0,2,5,2,0,3,21,0,0,0,0,1,Brian Thomas,bogusbr01-2015-PHI
bonifem01,2015,1,CHA,AL,47,78,5,13,2,0,0,4,1,4,2,27,0,1,1,0,1,Emilio Jose,bonifem01-2015-CHA
bourgja01,2015,1,CIN,NL,68,196,28,47,5,2,3,14,3,1,14,33,0,1,1,0,2,Jason Jerrod,bourgja01-2015-CIN
bourjpe01,2015,1,SLN,NL,117,195,32,39,8,3,4,13,5,8,19,59,4,6,4,1,2,Peter Christopher,bourjpe01-2015-SLN
bourju01,2015,1,MIA,NL,129,409,42,107,20,0,23,73,0,0,34,101,3,2,0,1,19,Justin James,bourju01-2015-MIA
bournmi01,2015,1,CLE,AL,95,289,29,71,12,1,0,19,13,5,29,76,0,0,7,1,2,Michael Ray,bournmi01-2015-CLE
bournmi01,2015,2,ATL,NL,46,136,10,30,3,1,0,11,4,2,17,31,0,0,1,2,3,Michael Ray,bournmi01-2015-ATL
bradlja02,2015,1,BOS,AL,74,221,43,55,17,4,10,43,3,0,27,69,0,3,1,3,5,Jackie,bradlja02-2015-BOS
brantmi02,2015,1,CLE,AL,137,529,68,164,45,0,15,84,15,1,60,51,8,2,0,5,14,Michael Charles,brantmi02-2015-CLE
braunry02,2015,1,MIL,NL,140,506,87,144,27,3,25,84,24,4,54,115,4,4,0,3,20,Ryan Joseph,braunry02-2015-MIL
browndo01,2015,1,PHI,NL,63,189,19,43,6,1,5,25,3,1,14,36,0,1,0,0,2,Domonic Larun,browndo01-2015-PHI
bruceja01,2015,1,CIN,NL,157,580,72,131,35,4,26,87,9,5,58,145,8,2,0,9,10,Jay Allen,bruceja01-2015-CIN
bryankr01,2015,1,CHN,NL,151,559,87,154,31,5,26,99,13,4,77,199,0,9,0,5,7,Kristopher L.,bryankr01-2015-CHN
bumgama01,2015,1,SFN,NL,36,77,9,19,2,0,5,9,0,0,3,27,0,0,1,0,1,Madison Kyle,bumgama01-2015-SFN
burnsbi02,2015,1,OAK,AL,125,520,70,153,18,9,5,42,26,8,26,81,1,6,1,2,5,William John,burnsbi02-2015-OAK
buterdr01,2015,2,KCA,AL,45,86,6,17,3,0,1,5,0,0,6,24,0,2,5,0,0,Andrew Edward,buterdr01-2015-KCA
butlebi03,2015,1,OAK,AL,151,538,63,135,28,1,15,65,0,0,52,101,4,7,0,4,26,Billy Ray,butlebi03-2015-OAK
butlejo04,2015,1,TBA,AL,88,257,30,71,12,0,8,30,5,2,16,82,0,3,0,0,16,Joseph Frank,butlejo04-2015-TBA
buxtoby01,2015,1,MIN,AL,46,129,16,27,7,1,2,6,2,2,6,44,0,1,2,0,1,Byron Keiron,buxtoby01-2015-MIN
byrdma01,2015,1,CIN,NL,96,359,46,85,13,3,19,42,2,1,23,101,1,3,0,3,6,Marlon Jerrard,byrdma01-2015-CIN
byrdma01,2015,2,SFN,NL,39,147,12,40,12,2,4,31,0,0,6,44,1,1,0,2,4,Marlon Jerrard,byrdma01-2015-SFN
cabreas01,2015,1,TBA,AL,143,505,66,134,28,5,15,58,6,3,36,107,4,3,1,6,14,Asdrubal Jose,cabreas01-2015-TBA
cabreev01,2015,1,BAL,AL,29,96,7,20,2,0,0,4,2,0,5,22,0,1,1,2,4,Everth,cabreev01-2015-BAL
cabreme01,2015,1,CHA,AL,158,629,70,172,36,2,12,77,3,0,40,88,2,2,2,10,18,Melky,cabreme01-2015-CHA
cabremi01,2015,1,DET,AL,119,429,64,145,28,1,18,76,1,1,77,82,15,3,0,2,19,Jose Miguel,cabremi01-2015-DET
cainlo01,2015,1,KCA,AL,140,551,101,169,34,6,16,72,28,6,37,98,4,12,0,4,16,Lorenzo Lamar,cainlo01-2015-KCA
calhoko01,2015,1,LAA,AL,159,630,78,161,23,2,26,83,4,1,45,164,1,5,2,4,6,Kole Alan,calhoko01-2015-LAA
callaal01,2015,1,ATL,NL,37,107,12,22,2,0,1,8,0,0,14,10,1,0,0,2,4,Alberto Jose,callaal01-2015-ATL
callaal01,2015,2,LAN,NL,60,123,8,32,5,0,0,7,0,0,14,24,0,0,1,0,2,Alberto Jose,callaal01-2015-LAN
campber01,2015,1,NYN,NL,71,173,28,34,8,0,3,19,5,3,26,37,1,4,1,2,11,Eric Singleton,campber01-2015-NYN
canhama01,2015,1,OAK,AL,124,441,61,112,22,3,16,70,7,2,33,96,0,8,0,3,9,Mark David,canhama01-2015-OAK
canoro01,2015,1,SEA,AL,156,624,82,179,34,1,21,79,2,6,43,107,5,3,0,4,26,Robinson Jose,canoro01-2015-SEA
carpema01,2015,1,SLN,NL,154,574,101,156,44,3,28,84,4,3,81,151,5,6,0,4,5,Matthew Martin,carpema01-2015-SLN
carreez01,2015,1,TOR,AL,91,172,27,47,8,0,3,26,2,1,11,45,0,2,5,2,1,Ezequiel Manuel,carreez01-2015-TOR
cartech02,2015,1,HOU,AL,129,391,50,78,17,0,24,64,1,2,57,151,1,6,0,5,5,Vernon Christopher,cartech02-2015-HOU
