Sorting Method, Number of Lines, Sorted Array Time, Sorted Comparisons, Shuffled Array Time, Shuffled Comparisons, Reverse Array Time, Reverse Comparisons,
Merge, 200, 0.8033,  ,1.1913,  , 1.1084,  ,
Merge, 400, 1.4432,  ,1.1809,  , 0.7395,  ,
Merge, 600, 2.22,  ,1.6578,  , 0.5385,  ,
Merge, 800, 3.8121,  ,1.573,  , 1.2032,  ,
Merge, 1000, 5.6347,  ,2.04,  , 1.5156,  ,
Quick, 200, 5.4053,  ,0.3077,  , 0.7782,  ,
Quick, 400, 11.3721,  ,0.1877,  , 2.2659,  ,
Quick, 600, 21.1471,  ,0.2935,  , 5.8971,  ,
Quick, 800, 23.8072,  ,0.4147,  , 14.8235,  ,
Quick, 1000, 36.7189,  ,0.7806,  , 16.238,  ,
Heap, 200, 0.9643,  ,0.4541,  , 0.1636,  ,
Heap, 400, 1.4066,  ,0.4353,  , 0.334,  ,
Heap, 600, 2.6553,  ,0.9893,  , 0.851,  ,
Heap, 800, 2.4688,  ,1.3042,  , 1.1961,  ,
Heap, 1000, 3.4063,  ,1.0098,  , 0.946,  ,
Bubble, 200, 0.1184, 199,5.9571, 19834, 5.0971, 19900,
Bubble, 400, 0.1382, 399,15.0236, 79590, 7.7826, 79800,
Bubble, 600, 0.2424, 599,16.6155, 179105, 5.9566, 179700,
Bubble, 800, 0.2645, 799,35.2968, 319300, 5.2683, 319600,
Bubble, 1000, 0.5271, 999,41.056, 499290, 17.6635, 499500,
Transposition, 200, 0.1201, 199,5.7999, 19104, 5.4742, 20099,
Transposition, 400, 0.1284, 399,14.9477, 79002, 6.4966, 80199,
Transposition, 600, 0.1917, 599,26.6861, 172512, 14.0089, 180299,
Transposition, 800, 0.2965, 799,38.6841, 311610, 15.1965, 320399,
Transposition, 1000, 0.2781, 999,43.9259, 483516, 21.9173, 500499,
