Sorted List, Shuffled Array, Reverse Sorted Array,
Player: Kyle Christian, Year: 2015, Team:CHN, Hits: 3 /// ,Player: Miguel Elias, Year: 2015, Team:MIA, Hits: 40 /// ,Player: Devaris, Year: 2015, Team:MIA, Hits: 205 /// ,
Player: Shelby Charles, Year: 2015, Team:ATL, Hits: 3 /// ,Player: Marcus Andrew, Year: 2015, Team:OAK, Hits: 143 /// ,Player: Jose Carlos, Year: 2015, Team:HOU, Hits: 200 /// ,
Player: Jonathan Tyler, Year: 2015, Team:CHN, Hits: 4 /// ,Player: Joshua Adam, Year: 2015, Team:TOR, Hits: 184 /// ,Player: Xander Jan, Year: 2015, Team:BOS, Hits: 196 /// ,
Player: Andrew Burton, Year: 2015, Team:SDN, Hits: 5 /// ,Player: David Adam, Year: 2015, Team:CHA, Hits: 89 /// ,Player: Allen Lorenz, Year: 2015, Team:ARI, Hits: 192 /// ,
Player: Rubby Carlos, Year: 2015, Team:ARI, Hits: 6 /// ,Player: Jacob Ryan, Year: 2015, Team:ARI, Hits: 92 /// ,Player: Prince Semien, Year: 2015, Team:TEX, Hits: 187 /// ,
Player: Craig Alan, Year: 2015, Team:OAK, Hits: 6 /// ,Player: Joshua Alan, Year: 2015, Team:BOS, Hits: 21 /// ,Player: Ian Michael, Year: 2015, Team:DET, Hits: 185 /// ,
Player: Thomas R., Year: 2015, Team:MIA, Hits: 6 /// ,Player: Michael Ray, Year: 2015, Team:ATL, Hits: 30 /// ,Player: Joshua Adam, Year: 2015, Team:TOR, Hits: 184 /// ,
Player: James Jacob, Year: 2015, Team:MIL, Hits: 6 /// ,Player: Kurt Kiyoshi, Year: 2015, Team:MIN, Hits: 104 /// ,Player: Paul Edward, Year: 2015, Team:ARI, Hits: 182 /// ,
Player: David Christopher, Year: 2015, Team:LAA, Hits: 7 /// ,Player: Alexander Thomas, Year: 2015, Team:DET, Hits: 34 /// ,Player: Nicholas William, Year: 2015, Team:ATL, Hits: 181 /// ,
Player: Matthew Edward, Year: 2015, Team:NYN, Hits: 7 /// ,Player: Caleb Martin, Year: 2015, Team:BAL, Hits: 75 /// ,Player: Manuel Arturo, Year: 2015, Team:BAL, Hits: 181 /// ,
Player: John Derran, Year: 2015, Team:SLN, Hits: 7 /// ,Player: Jhonny Antonio, Year: 2015, Team:SLN, Hits: 159 /// ,Player: Robinson Jose, Year: 2015, Team:SEA, Hits: 179 /// ,
Player: Michael Raymond, Year: 2015, Team:CIN, Hits: 7 /// ,Player: Thomas David, Year: 2015, Team:ATL, Hits: 19 /// ,Player: Eric John, Year: 2015, Team:KCA, Hits: 178 /// ,
Player: Bartolo, Year: 2015, Team:NYN, Hits: 8 /// ,Player: Cesar Augusto, Year: 2015, Team:PHI, Hits: 110 /// ,Player: Nelson Ramon, Year: 2015, Team:SEA, Hits: 178 /// ,
Player: Michael Lance, Year: 2015, Team:SLN, Hits: 8 /// ,Player: Yunel, Year: 2015, Team:WAS, Hits: 168 /// ,Player: Jose Dariel, Year: 2015, Team:CHA, Hits: 178 /// ,
Player: Carlos Ernesto, Year: 2015, Team:SLN, Hits: 8 /// ,Player: Alexis Israel, Year: 2015, Team:KCA, Hits: 98 /// ,Player: Gerald Dempsey, Year: 2015, Team:SFN, Hits: 177 /// ,
Player: Jacob Michael, Year: 2015, Team:TEX, Hits: 8 /// ,Player: Ryan Matthew, Year: 2015, Team:TOR, Hits: 94 /// ,Player: Nolan James, Year: 2015, Team:COL, Hits: 177 /// ,
Player: Gerrit Alan, Year: 2015, Team:PIT, Hits: 9 /// ,Player: Jimmy Santiago, Year: 2015, Team:BAL, Hits: 100 /// ,Player: Charles Cobb, Year: 2015, Team:COL, Hits: 176 /// ,
Player: Anthony James, Year: 2015, Team:CIN, Hits: 9 /// ,Player: Aramis, Year: 2015, Team:PIT, Hits: 48 /// ,Player: Adam Cory, Year: 2015, Team:CHA, Hits: 175 /// ,
Player: Clayton Edward, Year: 2015, Team:LAN, Hits: 9 /// ,Player: Franklin Rafael, Year: 2015, Team:SEA, Hits: 50 /// ,Player: Markus Lynn, Year: 2015, Team:BOS, Hits: 174 /// ,
Player: Jonathon Joseph, Year: 2015, Team:NYN, Hits: 9 /// ,Player: Abraham, Year: 2015, Team:CLE, Hits: 47 /// ,Player: Brandon Emil, Year: 2015, Team:CIN, Hits: 173 /// ,
Player: James Anthony, Year: 2015, Team:SDN, Hits: 9 /// ,Player: Todd B., Year: 2015, Team:CIN, Hits: 158 /// ,Player: Bryce Aron Max, Year: 2015, Team:WAS, Hits: 172 /// ,
Player: Chris J., Year: 2015, Team:LAN, Hits: 10 /// ,Player: Travis E., Year: 2015, Team:NYN, Hits: 64 /// ,Player: Melky, Year: 2015, Team:CHA, Hits: 172 /// ,
Player: Christopher L., Year: 2015, Team:SFN, Hits: 10 /// ,Player: Martin Benjamin, Year: 2015, Team:MIL, Hits: 48 /// ,Player: Jason Michael, Year: 2015, Team:CLE, Hits: 171 /// ,
Player: Daniel James, Year: 2015, Team:BOS, Hits: 10 /// ,Player: Billy Ray, Year: 2015, Team:OAK, Hits: 135 /// ,Player: David John, Year: 2015, Team:COL, Hits: 170 /// ,
Player: Anthony Vito, Year: 2015, Team:NYN, Hits: 10 /// ,Player: Carlos Argelis, Year: 2015, Team:MIL, Hits: 75 /// ,Player: Matthew Michael, Year: 2015, Team:SFN, Hits: 169 /// ,
Player: Hector Enrique, Year: 2015, Team:SFN, Hits: 10 /// ,Player: Jacob Joseph, Year: 2015, Team:CHN, Hits: 12 /// ,Player: Lorenzo Lamar, Year: 2015, Team:KCA, Hits: 169 /// ,
Player: Abraham, Year: 2015, Team:SDN, Hits: 11 /// ,Player: Nelson Ramon, Year: 2015, Team:SEA, Hits: 178 /// ,Player: Julio Daniel, Year: 2015, Team:DET, Hits: 168 /// ,
